 ,11.x,11.6.1 - 11.6.5,Will not fix,,,
BIG-IQ Centralized Management,8.x,8.0.0,None,High,6.5,BIND
 ,7.x,7.0.0 - 7.1.0,None,,,
 ,6.x,6.0.0 - 6.1.0,None,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K11426315,,,,,,
BIG-IP (all modules),16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.2",High - Appliance Mode Only3,8.7,iControl REST
 ,15.x,15.1.0 - 15.1.2,15.1.3,,,
 ,14.x,14.1.0 - 14.1.4,14.1.4.2,,,
 ,13.x,13.1.0.8 - 13.1.3,13.1.4,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K74151369,,,,,,
BIG-IP APM,16.x,16.0.0 - 16.0.1,16.1.0,High,7.0,BIG-IP Edge Client for Windows
 ,15.x,15.1.0 - 15.1.3,15.1.3.13,,,
 ,14.x,14.1.0 - 14.1.4,None3,,,
 ,13.x,13.1.0 - 13.1.4,None3,,,
 ,12.x,12.1.0 - 12.1.6,Will not fix,,,
 ,11.x,11.6.1 - 11.6.5,Will not fix,,,
BIG-IP APM Clients,7.x,"7.2.1
			7.1.6 - 7.1.9","7.2.1.3
			7.1.9.9 Update 1",High,7.0,BIG-IP Edge Client for Windows
BIG-IP (all other modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K33757590,,,,,,
BIG-IP APM,16.x,16.0.0 - 16.0.1,16.1.0,High,7.0,BIG-IP Edge Client Windows Component Installer service
 ,15.x,15.1.0 - 15.1.3,15.1.3.13,,,
 ,14.x,14.1.0 - 14.1.4,None3,,,
 ,13.x,13.1.0 - 13.1.4,None3,,,
 ,12.x,12.1.0 - 12.1.6,Will not fix,,,
 ,11.x,11.6.1 - 11.6.5,Will not fix,,,
BIG-IP APM Clients,7.x,"7.2.1
			7.1.6 - 7.1.9","7.2.1.3
			7.1.9.9 Update 1",High,7.0,BIG-IP Edge Client Windows Component Installer service
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,7.x,None,Not applicable,Not vulnerable,None,None
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K08503505,,,,,,
,"APM None
LTM None
DNS None",,,,,
K94133434,,,,,,
,"APM None
LTM None
DNS None",,,,,
K45452200,,,,,,
,"APM None
LTM None
DNS None",,,,,
K71249196,,,,,,
,"APM None
LTM None
DNS None",,,,,
K41410307,,,,,,
Type of fix,Fixes introduced in,Related articles,,,,
Release,"16.1.0
			15.1.3
			14.1.4
			13.1.4",K2200: Most recent versions of F5 software,,,,
Point release/hotfix,16.0.1.1,K9502: BIG-IP hotfix and point release matrix,,,,
K91414704,,,,,,
BIG-IP (all modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
